City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
114,Castro,-24.7911,-50.0119,70.56,87,42,2.28,BR,2021-02-02 21:58:03
115,Vila,42.0304,-8.1588,53.01,96,100,28.99,PT,2021-02-02 21:58:03
116,Bilibino,68.0546,166.4372,-2.72,85,18,5.26,RU,2021-02-02 21:58:03
117,Novoagansk,61.9449,76.6625,7.7,96,100,6.31,RU,2021-02-02 21:58:03
118,Kaitangata,-46.2817,169.8464,69.01,70,97,5.99,NZ,2021-02-02 21:58:03
119,Cantanhede,-3.6333,-44.3767,77.52,85,93,2.93,BR,2021-02-02 21:58:03
120,Tuktoyaktuk,69.4541,-133.0374,-34.6,74,1,3.44,CA,2021-02-02 21:58:03
121,Verkhoyansk,67.5447,133.385,-36.24,80,100,3.22,RU,2021-02-02 21:57:00
122,Abnub,27.2696,31.1511,59.0,63,0,6.91,EG,2021-02-02 21:58:04
123,Mugur-Aksy,50.35,90.5,7.02,67,0,5.82,RU,2021-02-02 21:58:04
124,Padang,-0.9492,100.3543,75.2,94,40,3.44,ID,2021-02-02 21:58:04
125,Khandyga,62.6667,135.6,-47.04,77,100,2.37,RU,2021-02-02 21:58:04
126,Severo-Kurilsk,50.6789,156.125,22.75,93,59,47.24,RU,2021-02-02 21:58:04
127,Nikolskoye,59.7035,30.7861,23.0,86,90,11.18,RU,2021-02-02 21:58:04
128,Cabo San Lucas,22.8909,-109.9124,80.01,47,20,12.66,MX,2021-02-02 21:58:04
129,Erzin,36.9559,36.2,55.0,71,100,14.0,TR,2021-02-02 21:58:04
130,Pontes E Lacerda,-15.2261,-59.3353,82.58,76,83,3.27,BR,2021-02-02 21:58:04
131,Marica,-22.9194,-42.8186,89.6,55,20,2.3,BR,2021-02-02 21:58:04
132,Hithadhoo,-0.6,73.0833,81.72,72,30,3.49,MV,2021-02-02 21:58:05
133,Guerrero Negro,27.9769,-114.0611,78.84,20,99,6.98,MX,2021-02-02 21:53:56
134,Klyuchi,52.2667,79.1667,10.69,94,100,11.48,RU,2021-02-02 21:58:05
135,Pipar,26.3856,73.5378,54.91,43,0,3.02,IN,2021-02-02 21:55:14
136,Cuamba,-14.8031,36.5372,71.02,95,49,1.95,MZ,2021-02-02 21:58:05
137,Ornskoldsvik,63.2909,18.7153,6.8,100,90,5.75,SE,2021-02-02 21:58:05
138,Kodinsk,58.6881,99.1844,-10.48,88,100,3.69,RU,2021-02-02 21:57:55
139,Yar-Sale,66.8333,70.8333,4.48,94,98,6.29,RU,2021-02-02 21:58:05
140,Kloulklubed,7.0419,134.2556,77.0,88,75,12.88,PW,2021-02-02 21:58:05
141,Lagoa,39.05,-27.9833,55.96,62,30,37.74,PT,2021-02-02 21:58:05
142,Tura,25.5198,90.2201,56.86,56,0,3.09,IN,2021-02-02 21:58:05
143,Nouakchott,18.0858,-15.9785,73.4,33,0,12.66,MR,2021-02-02 21:58:06
144,Coquimbo,-29.9533,-71.3436,66.2,68,20,13.8,CL,2021-02-02 21:58:06
